RunId,min_priority,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
342,6,45,0.5503333333333333,600.0,11.0,0.3666666666666666,287.0,0,0,
343,6,42,0.4593888888888889,600.0,10.0,0.3333333333333333,225.0,0,0,
344,6,41,0.5312777777777777,600.0,11.0,0.3666666666666666,322.0,0,0,
345,6,43,0.4366666666666666,600.0,10.0,0.3333333333333333,128.0,0,0,
346,6,47,0.4715,600.0,11.0,0.3666666666666666,221.0,0,0,
347,6,48,0.5389444444444444,600.0,10.0,0.3333333333333333,361.0,0,0,
348,6,52,0.46794444444444444,600.0,10.0,0.3333333333333333,283.0,0,0,
349,6,49,0.38899999999999996,600.0,5.0,0.1666666666666666,177.0,0,0,
350,6,51,0.4860555555555555,600.0,10.0,0.3333333333333333,297.0,0,0,
351,6,50,0.42433333333333334,600.0,10.0,0.3333333333333333,175.0,0,0,
352,6,46,0.43661111111111106,600.0,8.0,0.2666666666666666,193.0,0,0,
353,6,53,0.4603333333333333,600.0,11.0,0.3666666666666666,274.0,0,0,
354,6,54,0.4164444444444444,600.0,10.0,0.3333333333333333,205.0,0,0,
355,6,55,0.5010555555555556,600.0,12.0,0.4,391.0,0,0,
356,6,57,0.4225555555555556,600.0,10.0,0.3333333333333333,146.0,0,0,
357,6,58,0.4527777777777777,600.0,10.0,0.3333333333333333,221.0,0,0,
358,6,56,0.5926111111111111,600.0,12.0,0.4,492.0,0,0,
359,6,59,0.3917222222222222,600.0,10.0,0.3333333333333333,59.0,0,0,
360,6,60,0.43855555555555553,600.0,10.0,0.3333333333333333,161.0,0,0,
361,6,63,0.49166666666666664,600.0,10.0,0.3333333333333333,312.0,0,0,
362,6,65,0.47372222222222227,600.0,11.0,0.3666666666666666,331.0,0,0,
363,6,62,0.5243888888888889,600.0,9.0,0.3,379.0,0,0,
364,6,61,0.5589444444444445,600.0,11.0,0.3666666666666666,477.0,0,0,
365,6,66,0.4445555555555556,600.0,8.0,0.2666666666666666,278.0,0,0,
366,6,64,0.5437222222222222,600.0,13.0,0.4333333333333333,,0,0,
367,6,67,0.533,600.0,11.0,0.3666666666666666,407.0,0,0,
368,6,68,0.4524444444444444,600.0,10.0,0.3333333333333333,190.0,0,0,
369,6,69,0.4797777777777778,600.0,10.0,0.3333333333333333,288.0,0,0,
370,6,70,0.43094444444444446,600.0,10.0,0.3333333333333333,172.0,0,0,
371,6,71,0.46855555555555556,600.0,10.0,0.3333333333333333,247.0,0,0,
372,6,73,0.4432777777777777,600.0,10.0,0.3333333333333333,179.0,0,0,
373,6,72,0.549611111111111,600.0,11.0,0.3666666666666666,409.0,0,0,
374,6,74,0.4807222222222222,600.0,10.0,0.3333333333333333,197.0,0,0,
