RunId,n_points,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
225,5,45,0.19866666666666666,600.0,0.0,0.0,228.0,0,0,
226,10,45,0.18116666666666667,600.0,0.0,0.0,172.0,0,0,
227,20,45,0.31795833333333334,600.0,3.0,0.075,465.0,0,0,
228,30,45,0.43963888888888886,600.0,14.0,0.2333333333333333,255.0,0,0,
229,40,45,0.5208958333333333,600.0,30.0,0.375,221.0,0,0,
230,5,46,0.13783333333333334,600.0,0.0,0.0,119.0,0,0,
231,10,46,0.15683333333333332,600.0,0.0,0.0,159.0,0,0,
232,20,46,0.27020833333333333,600.0,1.0,0.025,317.0,0,0,
233,30,46,0.3900555555555555,600.0,12.0,0.2,182.0,0,0,
234,40,46,0.4424375,600.0,25.0,0.3125,137.0,0,0,
235,5,47,0.14200000000000002,600.0,0.0,0.0,162.0,0,0,
236,10,47,0.16908333333333334,600.0,0.0,0.0,210.0,0,0,
237,20,47,0.25383333333333336,600.0,0.0,0.0,341.0,0,0,
238,30,47,0.40688888888888886,600.0,15.0,0.25,168.0,0,0,
239,40,47,0.5378125,600.0,35.0,0.4375,152.0,0,0,
240,5,48,0.13616666666666666,600.0,0.0,0.0,111.0,0,0,
241,10,48,0.19075,600.0,0.0,0.0,221.0,0,0,
242,20,48,0.27291666666666664,600.0,2.0,0.05,369.0,0,0,
243,30,48,0.4487777777777778,600.0,17.0,0.2833333333333333,252.0,0,0,
244,40,48,0.48504166666666665,600.0,28.0,0.35,128.0,0,0,
245,5,49,0.11566666666666668,600.0,0.0,0.0,93.0,0,0,
246,10,49,0.13799999999999998,600.0,0.0,0.0,128.0,0,0,
247,20,49,0.22433333333333333,600.0,1.0,0.025,285.0,0,0,
248,30,49,0.4065833333333333,600.0,11.0,0.1833333333333333,255.0,0,0,
249,40,49,0.4661875,600.0,28.0,0.35,105.0,0,0,
250,5,50,0.11316666666666668,600.0,0.0,0.0,161.0,0,0,
251,10,50,0.1505,600.0,0.0,0.0,273.0,0,0,
252,20,50,0.22266666666666665,600.0,0.0,0.0,283.0,0,0,
253,30,50,0.4070277777777777,600.0,13.0,0.2166666666666666,226.0,0,0,
254,40,50,0.4818541666666667,600.0,27.0,0.3375,164.0,0,0,
255,5,51,0.14716666666666667,600.0,0.0,0.0,156.0,0,0,
256,10,51,0.16008333333333333,600.0,0.0,0.0,157.0,0,0,
257,20,51,0.2830833333333333,600.0,1.0,0.025,498.0,0,0,
258,30,51,0.42263888888888884,600.0,13.0,0.2166666666666666,216.0,0,0,
259,40,51,0.5236458333333334,600.0,31.0,0.3875,158.0,0,0,
260,5,52,0.10450000000000001,600.0,0.0,0.0,80.0,0,0,
261,10,52,0.16716666666666666,600.0,0.0,0.0,239.0,0,0,
262,20,52,0.3475416666666667,600.0,8.0,0.2,,0,0,
263,30,52,0.4656666666666666,600.0,19.0,0.3166666666666666,247.0,0,0,
264,40,52,0.49322916666666666,600.0,29.0,0.3625,187.0,0,0,
265,5,53,0.12366666666666667,600.0,0.0,0.0,155.0,0,0,
266,10,53,0.15041666666666667,600.0,0.0,0.0,203.0,0,0,
267,20,53,0.27704166666666663,600.0,2.0,0.05,428.0,0,0,
268,30,53,0.37875,600.0,13.0,0.2166666666666666,194.0,0,0,
269,40,53,0.40454166666666663,600.0,21.0,0.2625,121.0,0,0,
270,5,54,0.096,600.0,0.0,0.0,113.0,0,0,
271,10,54,0.15491666666666667,600.0,0.0,0.0,228.0,0,0,
272,20,54,0.17025,600.0,0.0,0.0,177.0,0,0,
273,30,54,0.3376111111111111,600.0,9.0,0.15,154.0,0,0,
274,40,54,0.4340833333333333,600.0,26.0,0.325,131.0,0,0,
275,5,55,0.15266666666666664,600.0,0.0,0.0,183.0,0,0,
276,10,55,0.18733333333333335,600.0,0.0,0.0,227.0,0,0,
277,20,55,0.24408333333333332,600.0,1.0,0.025,406.0,0,0,
278,30,55,0.43877777777777777,600.0,17.0,0.2833333333333333,218.0,0,0,
279,40,55,0.6051875,600.0,39.0,0.4875,322.0,0,0,
280,5,56,0.18466666666666667,600.0,0.0,0.0,128.0,0,0,
281,10,56,0.17833333333333334,600.0,0.0,0.0,184.0,0,0,
282,20,56,0.327125,600.0,0.0,0.0,416.0,0,0,
283,30,56,0.35191666666666666,600.0,10.0,0.1666666666666666,166.0,0,0,
284,40,56,0.525625,600.0,28.0,0.35,172.0,0,0,
285,5,57,0.13216666666666665,600.0,0.0,0.0,160.0,0,0,
286,10,57,0.16016666666666665,600.0,0.0,0.0,173.0,0,0,
287,20,57,0.295375,600.0,0.0,0.0,331.0,0,0,
288,30,57,0.3726944444444444,600.0,12.0,0.2,171.0,0,0,
289,40,57,0.3980625,600.0,20.0,0.25,128.0,0,0,
290,5,58,0.10166666666666667,600.0,0.0,0.0,113.0,0,0,
291,10,58,0.13983333333333334,600.0,0.0,0.0,129.0,0,0,
292,20,58,0.20816666666666667,600.0,0.0,0.0,251.0,0,0,
293,30,58,0.3763333333333333,600.0,8.0,0.1333333333333333,164.0,0,0,
294,40,58,0.45789583333333334,600.0,20.0,0.25,138.0,0,0,
295,5,59,0.06466666666666668,600.0,0.0,0.0,106.0,0,0,
296,10,59,0.08616666666666667,600.0,0.0,0.0,104.0,0,0,
297,20,59,0.21233333333333335,600.0,2.0,0.05,384.0,0,0,
298,30,59,0.42963888888888885,600.0,16.0,0.2666666666666666,232.0,0,0,
299,40,59,0.5129166666666667,600.0,30.0,0.375,153.0,0,0,
300,5,60,0.114,600.0,0.0,0.0,126.0,0,0,
301,10,60,0.17291666666666666,600.0,0.0,0.0,196.0,0,0,
302,20,60,0.22991666666666666,600.0,0.0,0.0,381.0,0,0,
303,30,60,0.35505555555555557,600.0,12.0,0.2,169.0,0,0,
304,40,60,0.4489166666666667,600.0,24.0,0.3,131.0,0,0,
305,5,61,0.11600000000000002,600.0,0.0,0.0,119.0,0,0,
306,10,61,0.14525000000000002,600.0,0.0,0.0,194.0,0,0,
307,20,61,0.23945833333333336,600.0,1.0,0.025,367.0,0,0,
308,30,61,0.394,600.0,17.0,0.2833333333333333,183.0,0,0,
309,40,61,0.5006041666666667,600.0,32.0,0.4,190.0,0,0,
310,5,62,0.14266666666666666,600.0,0.0,0.0,96.0,0,0,
311,10,62,0.16608333333333333,600.0,0.0,0.0,170.0,0,0,
312,20,62,0.26045833333333335,600.0,2.0,0.05,263.0,0,0,
313,30,62,0.41844444444444445,600.0,11.0,0.1833333333333333,266.0,0,0,
314,40,62,0.551875,600.0,32.0,0.4,183.0,0,0,
315,5,63,0.10416666666666667,600.0,0.0,0.0,125.0,0,0,
316,10,63,0.10683333333333332,600.0,0.0,0.0,113.0,0,0,
317,20,63,0.28204166666666663,600.0,2.0,0.05,429.0,0,0,
318,30,63,0.38611111111111107,600.0,10.0,0.1666666666666666,220.0,0,0,
319,40,63,0.46410416666666665,600.0,25.0,0.3125,144.0,0,0,
320,5,64,0.147,600.0,0.0,0.0,164.0,0,0,
321,10,64,0.15166666666666667,600.0,0.0,0.0,131.0,0,0,
322,20,64,0.3932083333333333,600.0,3.0,0.075,515.0,0,0,
323,30,64,0.3670555555555555,600.0,9.0,0.15,212.0,0,0,
324,40,64,0.5275833333333334,600.0,25.0,0.3125,206.0,0,0,
325,5,65,0.09533333333333334,600.0,0.0,0.0,124.0,0,0,
326,10,65,0.15633333333333332,600.0,0.0,0.0,150.0,0,0,
327,20,65,0.2562916666666667,600.0,3.0,0.075,469.0,0,0,
328,30,65,0.33849999999999997,600.0,9.0,0.15,135.0,0,0,
329,40,65,0.4353125,600.0,23.0,0.2875,116.0,0,0,
330,5,66,0.09333333333333334,600.0,0.0,0.0,126.0,0,0,
331,10,66,0.12033333333333333,600.0,0.0,0.0,165.0,0,0,
332,20,66,0.333875,600.0,5.0,0.125,,0,0,
333,30,66,0.43927777777777777,600.0,15.0,0.25,242.0,0,0,
334,40,66,0.5075208333333333,600.0,29.0,0.3625,153.0,0,0,
335,5,67,0.08516666666666667,600.0,0.0,0.0,74.0,0,0,
336,10,67,0.1545,600.0,0.0,0.0,132.0,0,0,
337,20,67,0.25404166666666667,600.0,1.0,0.025,354.0,0,0,
338,30,67,0.35844444444444445,600.0,12.0,0.2,169.0,0,0,
339,40,67,0.43345833333333333,600.0,24.0,0.3,116.0,0,0,
340,5,68,0.1295,600.0,0.0,0.0,138.0,0,0,
341,10,68,0.1755,600.0,0.0,0.0,225.0,0,0,
342,20,68,0.2821666666666667,600.0,2.0,0.05,451.0,0,0,
343,30,68,0.46844444444444444,600.0,15.0,0.25,326.0,0,0,
344,40,68,0.56675,600.0,30.0,0.375,275.0,0,0,
345,5,69,0.1125,600.0,0.0,0.0,122.0,0,0,
346,10,69,0.17408333333333334,600.0,0.0,0.0,194.0,0,0,
347,20,69,0.21045833333333333,600.0,0.0,0.0,195.0,0,0,
348,30,69,0.3438333333333333,600.0,7.0,0.1166666666666666,166.0,0,0,
349,40,69,0.49862500000000004,600.0,28.0,0.35,136.0,0,0,
350,5,70,0.10283333333333333,600.0,0.0,0.0,93.0,0,0,
351,10,70,0.12008333333333333,600.0,0.0,0.0,105.0,0,0,
352,20,70,0.202125,600.0,1.0,0.025,277.0,0,0,
353,30,70,0.28544444444444445,600.0,6.0,0.1,163.0,0,0,
354,40,70,0.3893333333333333,600.0,22.0,0.275,99.0,0,0,
355,5,71,0.13116666666666668,600.0,0.0,0.0,142.0,0,0,
356,10,71,0.13433333333333333,600.0,0.0,0.0,158.0,0,0,
357,20,71,0.2409583333333333,600.0,0.0,0.0,259.0,0,0,
358,30,71,0.3916944444444444,600.0,8.0,0.1333333333333333,214.0,0,0,
359,40,71,0.46802083333333333,600.0,24.0,0.3,174.0,0,0,
360,5,72,0.12933333333333333,600.0,0.0,0.0,119.0,0,0,
361,10,72,0.20283333333333334,600.0,0.0,0.0,218.0,0,0,
362,20,72,0.30375,600.0,3.0,0.075,456.0,0,0,
363,30,72,0.40705555555555556,600.0,14.0,0.2333333333333333,178.0,0,0,
364,40,72,0.5433958333333334,600.0,35.0,0.4375,190.0,0,0,
365,5,73,0.13716666666666666,600.0,0.0,0.0,137.0,0,0,
366,10,73,0.15483333333333335,600.0,0.0,0.0,185.0,0,0,
367,20,73,0.23366666666666666,600.0,2.0,0.05,276.0,0,0,
368,30,73,0.32391666666666663,600.0,8.0,0.1333333333333333,156.0,0,0,
369,40,73,0.4734791666666666,600.0,26.0,0.325,132.0,0,0,
370,5,74,0.13666666666666666,600.0,0.0,0.0,121.0,0,0,
371,10,74,0.14366666666666666,600.0,0.0,0.0,160.0,0,0,
372,20,74,0.24504166666666669,600.0,1.0,0.025,419.0,0,0,
