n_points,Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
5,45.0,45.0,100,6.99,2.0175743011364067,0.6990000000000001,0.20175743011364067,0.301,0.20175743011364067,0.0,0.0,0.009000000000000001,0.028762349126466136,1.53,1.0096003809888987,3.52,1.019803902718557,1.29,0.9979271445644643,0.19,0.41911402464790604,36.68,2.3863246750066205,34.79,3.4415611914280166,3.32,2.3863246750066205,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,46.0,46.0,100,6.94,2.0192007619777974,0.6940000000000001,0.20192007619777966,0.306,0.2019200761977797,0.0,0.0,0.005000000000000001,0.021904291355759036,1.57,1.0274514906585936,3.51,1.0100005000498815,1.35,0.9885710532241613,0.14,0.3765875486765087,36.7,2.3246592016982635,34.75,3.4535152637229913,3.3,2.3246592016982626,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,47.0,47.0,100,6.91,2.030549510140374,0.691,0.20305495101403742,0.309,0.20305495101403742,0.0,0.0,0.002999999999999999,0.017144660799776525,1.59,1.0453842751965818,3.5,1.0100505037878158,1.4,1.005037815259212,0.1,0.30151134457776363,36.75,2.2219065432345912,34.77,3.3750570515192937,3.25,2.221906543234591,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,48.0,48.0,100,6.83,2.0153702319219597,0.6829999999999999,0.20153702319219594,0.317,0.2015370231921959,0.0,0.0,0.008,0.027265992434429072,1.65,1.0286305498481016,3.48,1.0198039027185573,1.43,1.017572869849892,0.09,0.2876234912646614,36.7,2.1625835652680974,34.71,3.2915410409476022,3.3,2.1625835652680983,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,49.0,49.0,100,6.76,2.020700948490975,0.6759999999999999,0.2020700948490975,0.324,0.2020700948490974,0.0,0.0,0.006999999999999999,0.025643239997624277,1.69,1.0317681205316698,3.45,1.0187633620614691,1.45,1.0187633620614691,0.1,0.30151134457776363,36.66,2.12830847616058,34.55,3.4388599238348716,3.34,2.1283084761605795,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,50.0,50.0,100,6.68,2.049291575056112,0.6679999999999999,0.20492915750561122,0.332,0.20492915750561114,0.0,0.0,0.008,0.027265992434429065,1.71,1.0376254944182253,3.39,1.0337242662266657,1.56,1.0378688342809592,0.05,0.2190429135575903,36.62,2.1119190373217482,34.52,3.3709393829068373,3.38,2.1119190373217482,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,51.0,51.0,100,6.58,2.0109799611235326,0.6579999999999999,0.20109799611235324,0.342,0.20109799611235324,0.0,0.0,0.009999999999999998,0.03333333333333333,1.78,1.020793907711151,3.36,1.0300534457056592,1.52,1.0681807436057351,0.12,0.40898988651643614,36.47,2.1341617709645315,34.48,3.3589320091993877,3.53,2.1341617709645315,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,52.0,52.0,100,6.49,2.0075363060731974,0.649,0.20075363060731988,0.35100000000000003,0.20075363060731982,0.0,0.0,0.009,0.02876234912646614,1.83,1.015585615009459,3.32,1.033577683719433,1.6,1.0540925533894596,0.08,0.3074824459143229,36.4,2.155565968942877,34.49,3.394871354727824,3.6,2.1555659689428777,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,53.0,53.0,100,6.34,2.011180868258368,0.634,0.20111808682583684,0.366,0.20111808682583684,0.0,0.0,0.015000000000000003,0.03859920970562727,1.91,1.0356767172367365,3.25,1.0187633620614691,1.61,1.0337242662266657,0.14,0.34873508801977704,36.17,2.206761876550794,34.4,3.296769156111308,3.83,2.206761876550793,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,54.0,54.0,100,6.22,2.00292715087623,0.622,0.20029271508762297,0.37800000000000006,0.20029271508762295,0.0,0.0,0.012000000000000002,0.04089898865164361,1.95,1.0384039812533599,3.17,0.9954949025535491,1.72,1.0058415241563512,0.11,0.3144660377352202,36.11,2.1220106721996697,34.32,3.2220201956868815,3.89,2.1220106721996697,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,55.0,55.0,100,6.15,2.0468009037016617,0.615,0.20468009037016624,0.385,0.20468009037016618,0.0,0.0,0.006999999999999999,0.029318866956210287,1.98,1.0728984626287386,3.13,1.0015644328406001,1.72,1.0257295999049711,0.15,0.35887028128263665,35.97,2.2583403220287694,34.34,3.0984518780197368,4.03,2.2583403220287708,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,56.0,56.0,100,6.12,2.056180631140851,0.612,0.2056180631140851,0.38800000000000007,0.2056180631140851,0.0,0.0,0.002999999999999999,0.017144660799776522,2.01,1.0870681541270408,3.13,1.0015644328406001,1.74,1.0407844749189543,0.13,0.36666666666666664,35.95,2.324115993558658,34.3,3.086300783341202,4.05,2.324115993558659,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,57.0,57.0,100,6.04,2.0593222382153025,0.604,0.20593222382153023,0.396,0.20593222382153023,0.0,0.0,0.008,0.027265992434429075,2.04,1.072333432239707,3.08,1.0118489926063,1.77,1.0235114838514308,0.15,0.38599209705627263,35.84,2.3856473191385876,34.23,2.9673475555033146,4.16,2.3856473191385876,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
5,58.0,58.0,100,5.92,2.0284840336437147,0.5920000000000001,0.20284840336437146,0.408,0.20284840336437146,0.0,0.0,0.012000000000000002,0.038349798835288176,2.13,1.060350618589641,3.05,1.0087996667707457,1.83,1.0449977043133643,0.12,0.35618630921006333,35.76,2.211631328072817,34.21,2.81516456271237,4.24,2.211631328072817,5.0,0.0,10.0,0.0,2.0,0.0,0.25,0.0,0.63,0.7608474807008886
