RunId,seed,radius_profile,event_index,event_step,event_time_s,event_types,next_event_step,coverage_threshold,threshold_reached,time_to_90_percent_nominal_service_after_event_s
60,59,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,285.0
61,60,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,292.0
61,60,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
61,60,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
61,60,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,76.0
62,61,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,False,
62,61,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
62,61,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
62,61,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,67.0
63,62,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,80.0
63,62,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
63,62,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
63,62,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,170.0
64,63,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,137.0
64,63,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,248.0
64,63,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
64,63,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,11.0
65,64,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,19.0
65,64,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
65,64,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
65,64,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,94.0
66,65,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,152.0
66,65,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,253.0
66,65,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
66,65,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,57.0
67,66,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,False,
67,66,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,221.0
67,66,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
67,66,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,275.0
68,67,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,286.0
68,67,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,191.0
68,67,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
68,67,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,202.0
69,68,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,133.0
69,68,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,True,231.0
69,68,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,0.0
69,68,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,54.0
70,69,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,122.0
70,69,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
70,69,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,12.0
70,69,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,154.0
71,70,rd10_rp10_nominal,1,600,600.0,set_priorities,900.0,0.9,True,87.0
71,70,rd10_rp10_nominal,2,900,900.0,reconfigure + set_priorities,1200.0,0.9,False,
71,70,rd10_rp10_nominal,3,1200,1200.0,add_points + set_priorities,1500.0,0.9,True,68.0
71,70,rd10_rp10_nominal,4,1500,1500.0,remove_points + set_priorities,,0.9,True,72.0
