RunId,point_sensing_radius,drone_sensing_radius,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,mean_excess_service_units,final_excess_service_units,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
319,25.0,25.0,79,0.4807222222222222,600.0,12.0,0.4,0.98,1.0,361.0,0,0,
320,10.0,10.0,80,0.3695,600.0,5.0,0.1666666666666666,0.013333333333333334,0.0,185.0,0,0,
321,25.0,10.0,80,0.6026666666666666,600.0,17.0,0.5666666666666667,0.01,0.0,,0,0,
322,10.0,25.0,80,0.4471666666666667,600.0,7.0,0.2333333333333333,0.008333333333333333,0.0,324.0,0,0,
323,25.0,25.0,80,0.3685555555555555,600.0,5.0,0.1666666666666666,0.4483333333333333,1.0,161.0,0,0,
324,10.0,10.0,81,0.4368888888888889,600.0,7.0,0.2333333333333333,0.028333333333333332,0.0,305.0,0,0,
325,25.0,10.0,81,0.611,600.0,17.0,0.5666666666666667,0.06,0.0,,0,0,
326,10.0,25.0,81,0.46561111111111114,600.0,10.0,0.3333333333333333,0.03833333333333333,0.0,271.0,0,0,
327,25.0,25.0,81,0.47855555555555557,600.0,11.0,0.3666666666666666,1.785,2.0,204.0,0,0,
328,10.0,10.0,82,0.4527222222222222,600.0,10.0,0.3333333333333333,0.008333333333333333,0.0,204.0,0,0,
329,25.0,10.0,82,0.6611666666666667,600.0,19.0,0.6333333333333333,0.02,0.0,,0,0,
330,10.0,25.0,82,0.44155555555555553,600.0,10.0,0.3333333333333333,0.011666666666666667,0.0,204.0,0,0,
331,25.0,25.0,82,0.49416666666666664,600.0,11.0,0.3666666666666666,0.023333333333333334,0.0,375.0,0,0,
332,10.0,10.0,83,0.5012222222222222,600.0,11.0,0.3666666666666666,0.008333333333333333,0.0,365.0,0,0,
333,25.0,10.0,83,0.6052777777777778,600.0,17.0,0.5666666666666667,0.023333333333333334,0.0,,0,0,
334,10.0,25.0,83,0.4279444444444444,600.0,10.0,0.3333333333333333,0.01,0.0,105.0,0,0,
335,25.0,25.0,83,0.4371666666666666,600.0,11.0,0.3666666666666666,0.045,0.0,112.0,0,0,
336,10.0,10.0,84,0.29877777777777775,600.0,5.0,0.1666666666666666,2.38,3.0,102.0,0,0,
337,25.0,10.0,84,0.5678888888888889,600.0,16.0,0.5333333333333333,0.08,0.0,,0,0,
338,10.0,25.0,84,0.38638888888888884,600.0,7.0,0.2333333333333333,0.021666666666666667,0.0,188.0,0,0,
339,25.0,25.0,84,0.285,600.0,3.0,0.1,2.5716666666666668,4.0,147.0,0,0,
340,10.0,10.0,85,0.3877777777777778,600.0,6.0,0.2,0.025,0.0,193.0,0,0,
341,25.0,10.0,85,0.6495,600.0,19.0,0.6333333333333333,0.07,0.0,,0,0,
342,10.0,25.0,85,0.6094444444444443,600.0,16.0,0.5333333333333333,0.02,0.0,,0,0,
343,25.0,25.0,85,0.3015555555555556,600.0,6.0,0.2,0.9416666666666667,1.0,92.0,0,0,
344,10.0,10.0,86,0.40788888888888886,600.0,7.0,0.2333333333333333,0.015,0.0,202.0,0,0,
345,25.0,10.0,86,0.7187777777777777,600.0,21.0,0.7,0.025,0.0,,0,0,
346,10.0,25.0,86,0.41088888888888886,600.0,7.0,0.2333333333333333,0.011666666666666667,0.0,222.0,0,0,
347,25.0,25.0,86,0.3862777777777778,600.0,6.0,0.2,0.03,0.0,251.0,0,0,
348,10.0,10.0,87,0.4012222222222222,600.0,8.0,0.2666666666666666,0.0033333333333333335,0.0,201.0,0,0,
349,25.0,10.0,87,0.6005,600.0,17.0,0.5666666666666667,0.02,0.0,,0,0,
350,10.0,25.0,87,0.41355555555555557,600.0,6.0,0.2,0.015,0.0,323.0,0,0,
351,25.0,25.0,87,0.4205,600.0,8.0,0.2666666666666666,0.02,0.0,251.0,0,0,
352,10.0,10.0,88,0.4632222222222222,600.0,9.0,0.3,0.016666666666666666,0.0,320.0,0,0,
353,25.0,10.0,88,0.6244444444444444,600.0,18.0,0.6,0.028333333333333332,0.0,,0,0,
354,10.0,25.0,88,0.3828333333333333,600.0,8.0,0.2666666666666666,0.011666666666666667,0.0,102.0,0,0,
355,25.0,25.0,88,0.4317222222222222,600.0,9.0,0.3,0.03,0.0,169.0,0,0,
356,10.0,10.0,89,0.4075,600.0,8.0,0.2666666666666666,0.013333333333333334,0.0,198.0,0,0,
357,25.0,10.0,89,0.6896111111111111,600.0,20.0,0.6666666666666666,0.02666666666666667,0.0,,0,0,
358,10.0,25.0,89,0.47905555555555557,600.0,8.0,0.2666666666666666,0.013333333333333334,0.0,313.0,0,0,
359,25.0,25.0,89,0.45149999999999996,600.0,6.0,0.2,0.04,0.0,281.0,0,0,
